gap,40000,80000,120000,160000
2,0.010214,0.020271,0.031022,0.041374
4,0.0076,0.018904,0.030769,0.036903
6,0.007802,0.018396,0.027072,0.037575
8,0.008328,0.016703,0.027345,0.03524
10,0.009398,0.020945,0.032016,0.040088
12,0.008682,0.016977,0.030433,0.047168
14,0.007532,0.016606,0.027211,0.033589
16,0.007461,0.015897,0.028516,0.036122
18,0.007462,0.015976,0.02572,0.035015
20,0.008059,0.016646,0.027006,0.037115
22,0.008291,0.01693,0.026565,0.035856
24,0.007664,0.017832,0.02626,0.034253
26,0.008983,0.016885,0.027919,0.039084
28,0.007632,0.018227,0.024827,0.035545
30,0.007635,0.016154,0.024963,0.034486
32,0.008232,0.01672,0.027823,0.033928
34,0.007673,0.016241,0.024883,0.0363
36,0.007487,0.016329,0.027248,0.036458
38,0.00765,0.016469,0.027809,0.035237
40,0.008148,0.021214,0.025473,0.036171
42,0.008307,0.017513,0.029015,0.040567
44,0.008094,0.01621,0.025099,0.035973
46,0.007731,0.01663,0.026589,0.036401
48,0.007488,0.016663,0.028871,0.035413
50,0.007471,0.02037,0.026208,0.037932
52,0.008845,0.020039,0.028071,0.03419
54,0.010577,0.017202,0.029768,0.033529
56,0.007442,0.015686,0.028169,0.037844
58,0.007619,0.020499,0.025627,0.036635
60,0.009132,0.016218,0.026249,0.034587
62,0.007595,0.015901,0.026209,0.034652
64,0.00799,0.017586,0.025287,0.036408
66,0.007563,0.017276,0.025578,0.034667
68,0.007617,0.016021,0.024698,0.036244
70,0.007549,0.016558,0.026232,0.038762
72,0.008564,0.019325,0.028258,0.038093
74,0.007658,0.016225,0.026657,0.039362
76,0.007765,0.01787,0.027096,0.038355
78,0.007577,0.017961,0.027607,0.035288
80,0.007458,0.016669,0.028118,0.034674
82,0.007824,0.017601,0.025458,0.034597
84,0.00758,0.016498,0.026455,0.036791
86,0.007583,0.016355,0.025776,0.033998
88,0.007662,0.017384,0.024881,0.036735
90,0.007883,0.017553,0.027113,0.033982
92,0.007724,0.017375,0.026123,0.03549
94,0.007649,0.016554,0.030583,0.033656
96,0.007458,0.015749,0.024491,0.036452
98,0.008609,0.015854,0.026001,0.037022
100,0.009445,0.01636,0.027133,0.036885
